[ 2025-08-28 13:05:44,059 ] 19 root - INFO - initaite data ingestion
[ 2025-08-28 13:06:28,641 ] 65 root - INFO - performed tarin test split on the dataframe
[ 2025-08-28 13:06:28,642 ] 71 root - INFO - saving train and test file path as csv
[ 2025-08-28 13:06:28,678 ] 79 root - INFO - exported train and test file path
[ 2025-08-28 13:06:28,679 ] 21 root - INFO - Data Ingestion completed
[ 2025-08-28 13:06:28,684 ] 26 root - INFO - initaite data validation
[ 2025-08-28 13:06:28,764 ] 35 root - INFO - required number of columns 2
[ 2025-08-28 13:06:28,764 ] 36 root - INFO - Dataframe has columns: 31
[ 2025-08-28 13:06:28,764 ] 35 root - INFO - required number of columns 2
[ 2025-08-28 13:06:28,765 ] 36 root - INFO - Dataframe has columns: 31
[ 2025-08-28 13:06:28,771 ] 46 root - INFO - numerical columns are: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2025-08-28 13:06:28,772 ] 46 root - INFO - numerical columns are: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2025-08-28 13:06:28,863 ] 28 root - INFO - Data Validation completed
[ 2025-08-28 13:06:28,864 ] 33 root - INFO - initaite data transformation
[ 2025-08-28 13:06:28,864 ] 48 root - INFO - Entered initaied data transfromation method
[ 2025-08-28 13:06:28,864 ] 50 root - INFO - Starting data transformation
[ 2025-08-28 13:06:28,880 ] 37 root - INFO - Entered the get_data_transformer_object class for KNN imputation
[ 2025-08-28 13:06:28,880 ] 40 root - INFO - intialize KNN imputer
[ 2025-08-28 13:06:28,893 ] 44 root - INFO - entered the save object in utils.py
[ 2025-08-28 13:06:28,896 ] 49 root - INFO - existed the save object utils.py
[ 2025-08-28 13:06:28,896 ] 44 root - INFO - entered the save object in utils.py
[ 2025-08-28 13:06:28,897 ] 49 root - INFO - existed the save object utils.py
[ 2025-08-28 13:06:28,898 ] 35 root - INFO - Data transformation completed
[ 2025-08-28 13:06:28,898 ] 38 root - INFO - Model Training stared
[ 2025-08-28 13:10:05,827 ] 44 root - INFO - entered the save object in utils.py
[ 2025-08-28 13:10:05,925 ] 49 root - INFO - existed the save object utils.py
[ 2025-08-28 13:10:05,925 ] 44 root - INFO - entered the save object in utils.py
[ 2025-08-28 13:10:05,993 ] 49 root - INFO - existed the save object utils.py
[ 2025-08-28 13:10:05,993 ] 120 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_28_2025_13_05_43\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912814274128142, precision_score=0.9900769542324828, recall_score=0.9924888347543646), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9748580697485807, precision_score=0.9732793522267207, recall_score=0.9764419171405362))
[ 2025-08-28 13:10:06,009 ] 43 root - INFO - Model Training artifact created
